car_id;car_class_id;team_id;driver_id;name;rating_old
70;77;-97673;295108;Marco Holtmann;1269
70;77;-97673;72565;Silas Greiner;1800
70;77;-97673;90384;Marian Hensel;2172
92;100;-97721;-97721;Ghost Team2;0
92;100;-97721;162110;Jean-Laurent Leoni;3091
92;100;-97721;221120;Med Druelle;4020
92;100;-97721;305367;John Attali;2551
92;100;-97721;306590;Frédéric Pochez;1963
70;77;-10230;-10230;Rumblestrip - Code Brown;0
70;77;-10230;121156;Jimmy Eifling;853
70;77;-10230;132443;Matthew Cottingham;2094
70;77;-10230;148441;Bert Behrens;1159
70;77;-10230;46917;Jeffrey Lacey;1888
70;77;-10230;75821;Brian Herring;2366
102;100;-10403;-10403;Final Gear Motorsport;0
102;100;-10403;55578;Alex Labbe;3768
102;100;-10403;75513;Mike Spangler;2428
102;100;-10403;81551;Matt Spangler;2727
70;77;-106901;-106901;Trium eSport by KAST;0
70;77;-106901;229161;Martin Donati;2219
70;77;-106901;285275;Ludovic Juret;1990
70;77;-106901;285278;Bryan Serton;1762
70;77;-106901;318258;Clément Andrieu;1874
72;473;-107454;-107454;Bilugas Team;0
72;473;-107454;199147;Marcelo Vincci Lopes;1664
72;473;-107454;218036;Igor Napol;2316
72;473;-107454;311175;Joao CF Augusto;2368
72;473;-107454;311877;Felipe Fargnolli;1322
72;473;-107454;321827;Guilherme Fargnolli2;1512
72;473;-109599;-109599;VERTEX MOTORSPORTS GREEN;0
72;473;-109599;165282;Javier Pérez;1541
72;473;-109599;226981;Luis Area;2162
72;473;-109599;292473;Javier Area;1674
72;473;-109599;320015;Jose Maria Gimenez Angles;1769
70;77;-11130;-11130;MWM dba DogBear;0
70;77;-11130;17349;Bob Beltrami;2052
70;77;-11130;18908;Bryan Barns;2058
70;77;-11130;198761;Marcus Tracy;1144
70;77;-11130;48073;Rob Gall;2988
70;77;-11130;60886;Jack Johnson;1154
72;473;-111613;-111613;Sim Stickers Racing;0
72;473;-111613;215207;Wayne Palmer;2780
72;473;-111613;228776;Paul Godden2;2311
72;473;-111613;259215;Bryan Loynes;2105
72;473;-111613;325412;Ross Nicholson;2139
102;100;-111759;-111759;REAL eSport;0
102;100;-111759;109748;Alexander Lauritzen;3202
102;100;-111759;222011;Frederik Vesti;3102
102;100;-111759;277400;Nick Madsen;3860
102;100;-111759;85457;Lasse Sorensen;2800
93;100;-111963;-111963;A-sim-etric;0
93;100;-111963;117124;Paul Cook2;2031
93;100;-111963;211548;Robbie Tear;2156
93;100;-111963;258209;James McRitchie;3773
93;100;-111963;28682;Abdulkheir Al Amry;2664
93;100;-112936;-112936;Crni;0
93;100;-112936;344936;Duh Crni;3717
72;473;-113671;-113671;EPRacing;0
72;473;-113671;16651;Julien Rozet;1687
72;473;-113671;285664;Ludovic FERRUIT;1722
